Year,Causes of Death,Number of Persons
2012,Diseases of Circulatory System,44610
2012,Cancer,44170
2012,Mental and Behavioural Disorders,8231
2012,Diseases of the Nervous System,7058
2012,Diseases of the Respiratory System,13446
2013,Diseases of Circulatory System,43956
2013,Cancer,44942
2013,Mental and Behavioural Disorders,8247
2013,Diseases of the Nervous System,7547
2013,Diseases of the Respiratory System,12560
2014,Diseases of Circulatory System,45228
2014,Cancer,45001
2014,Mental and Behavioural Disorders,9085
2014,Diseases of the Nervous System,8198
2014,Diseases of the Respiratory System,13923
2015,Diseases of Circulatory System,45152
2015,Cancer,46115
2015,Mental and Behavioural Disorders,9508
2015,Diseases of the Nervous System,8452
2015,Diseases of the Respiratory System,14253
2016,Diseases of Circulatory System,44366
2016,Cancer,46682
2016,Mental and Behavioural Disorders,10082
2016,Diseases of the Nervous System,8968
2016,Diseases of the Respiratory System,14520
2017,Diseases of Circulatory System,44794
2017,Cancer,47391
2017,Mental and Behavioural Disorders,10538
2017,Diseases of the Nervous System,9532
2017,Diseases of the Respiratory System,16304
2018,Diseases of Circulatory System,42555
2018,Cancer,48014
2018,Mental and Behavioural Disorders,10308
2018,Diseases of the Nervous System,9409
2018,Diseases of the Respiratory System,14284
2019,Diseases of Circulatory System,42121
2019,Cancer,49110
2019,Mental and Behavioural Disorders,10949
2019,Diseases of the Nervous System,10135
2019,Diseases of the Respiratory System,15704
2020,Diseases of Circulatory System,41011
2020,Cancer,49518
2020,Mental and Behavioural Disorders,10634
2020,Diseases of the Nervous System,10147
2020,Diseases of the Respiratory System,12562
2021,Diseases of Circulatory System,42885
2021,Cancer,50820
2021,Mental and Behavioural Disorders,11282
2021,Diseases of the Nervous System,11276
2021,Diseases of the Respiratory System,13650
2022,Diseases of Circulatory System,42307
2022,Cancer,48867
2022,Mental and Behavioural Disorders,11591
2022,Diseases of the Nervous System,11260
2022,Diseases of the Respiratory System,14386
