Year,States,Malignant Neoplasm of,Number of Deaths
2012,Australia,Oesophagus,1219
2012,Australia,Stomach,1175
2012,Australia,Small Intestine,132
2012,Australia,Colon,1992
2012,Australia,Rectosigmoid Junction,1361
2012,Australia,Rectum,706
2012,Australia,Anus and Anal Canal,68
2012,Australia,Liver and Intrahepatic Bile Ducts,1505
2012,Australia,Gallbladder,182
2012,Australia,Other and Unspecified Parts of Biliary Tract,77
2012,Australia,Pancreas,2544
2012,Australia,Other Digestive Organs,1280
2013,Australia,Oesophagus,1267
2013,Australia,Stomach,1216
2013,Australia,Small Intestine,107
2013,Australia,Colon,1944
2013,Australia,Rectosigmoid Junction,1533
2013,Australia,Rectum,702
2013,Australia,Anus and Anal Canal,74
2013,Australia,Liver and Intrahepatic Bile Ducts,1618
2013,Australia,Gallbladder,168
2013,Australia,Other and Unspecified Parts of Biliary Tract,93
2013,Australia,Pancreas,2573
2013,Australia,Other Digestive Organs,1213
2014,Australia,Oesophagus,1201
2014,Australia,Stomach,1159
2014,Australia,Small Intestine,94
2014,Australia,Colon,1785
2014,Australia,Rectosigmoid Junction,1633
2014,Australia,Rectum,712
2014,Australia,Anus and Anal Canal,98
2014,Australia,Liver and Intrahepatic Bile Ducts,1750
2014,Australia,Gallbladder,153
2014,Australia,Other and Unspecified Parts of Biliary Tract,83
2014,Australia,Pancreas,2575
2014,Australia,Other Digestive Organs,1224
2015,Australia,Oesophagus,1312
2015,Australia,Stomach,1124
2015,Australia,Small Intestine,101
2015,Australia,Colon,1759
2015,Australia,Rectosigmoid Junction,1829
2015,Australia,Rectum,701
2015,Australia,Anus and Anal Canal,87
2015,Australia,Liver and Intrahepatic Bile Ducts,1788
2015,Australia,Gallbladder,172
2015,Australia,Other and Unspecified Parts of Biliary Tract,112
2015,Australia,Pancreas,2749
2015,Australia,Other Digestive Organs,1241
2016,Australia,Oesophagus,1348
2016,Australia,Stomach,1102
2016,Australia,Small Intestine,119
2016,Australia,Colon,1765
2016,Australia,Rectosigmoid Junction,1939
2016,Australia,Rectum,664
2016,Australia,Anus and Anal Canal,87
2016,Australia,Liver and Intrahepatic Bile Ducts,1888
2016,Australia,Gallbladder,168
2016,Australia,Other and Unspecified Parts of Biliary Tract,116
2016,Australia,Pancreas,2914
2016,Australia,Other Digestive Organs,1176
2017,Australia,Oesophagus,1273
2017,Australia,Stomach,1181
2017,Australia,Small Intestine,134
2017,Australia,Colon,1612
2017,Australia,Rectosigmoid Junction,1959
2017,Australia,Rectum,698
2017,Australia,Anus and Anal Canal,102
2017,Australia,Liver and Intrahepatic Bile Ducts,1953
2017,Australia,Gallbladder,166
2017,Australia,Other and Unspecified Parts of Biliary Tract,116
2017,Australia,Pancreas,3091
2017,Australia,Other Digestive Organs,1218
2018,Australia,Oesophagus,1348
2018,Australia,Stomach,1144
2018,Australia,Small Intestine,138
2018,Australia,Colon,1521
2018,Australia,Rectosigmoid Junction,2029
2018,Australia,Rectum,719
2018,Australia,Anus and Anal Canal,90
2018,Australia,Liver and Intrahepatic Bile Ducts,2093
2018,Australia,Gallbladder,181
2018,Australia,Other and Unspecified Parts of Biliary Tract,109
2018,Australia,Pancreas,3057
2018,Australia,Other Digestive Organs,1195
2019,Australia,Oesophagus,1373
2019,Australia,Stomach,1169
2019,Australia,Small Intestine,142
2019,Australia,Colon,1512
2019,Australia,Rectosigmoid Junction,1998
2019,Australia,Rectum,630
2019,Australia,Anus and Anal Canal,103
2019,Australia,Liver and Intrahepatic Bile Ducts,2181
2019,Australia,Gallbladder,171
2019,Australia,Other and Unspecified Parts of Biliary Tract,125
2019,Australia,Pancreas,3144
2019,Australia,Other Digestive Organs,1199
2020,Australia,Oesophagus,1344
2020,Australia,Stomach,1187
2020,Australia,Small Intestine,150
2020,Australia,Colon,1498
2020,Australia,Rectosigmoid Junction,2155
2020,Australia,Rectum,710
2020,Australia,Anus and Anal Canal,133
2020,Australia,Liver and Intrahepatic Bile Ducts,2198
2020,Australia,Gallbladder,177
2020,Australia,Other and Unspecified Parts of Biliary Tract,123
2020,Australia,Pancreas,3283
2020,Australia,Other Digestive Organs,1256
2021,Australia,Oesophagus,1396
2021,Australia,Stomach,1202
2021,Australia,Small Intestine,144
2021,Australia,Colon,1550
2021,Australia,Rectosigmoid Junction,2142
2021,Australia,Rectum,686
2021,Australia,Anus and Anal Canal,124
2021,Australia,Liver and Intrahepatic Bile Ducts,2301
2021,Australia,Gallbladder,184
2021,Australia,Other and Unspecified Parts of Biliary Tract,145
2021,Australia,Pancreas,3442
2021,Australia,Other Digestive Organs,1162
2022,Australia,Oesophagus,1315
2022,Australia,Stomach,1076
2022,Australia,Small Intestine,153
2022,Australia,Colon,1386
2022,Australia,Rectosigmoid Junction,1985
2022,Australia,Rectum,643
2022,Australia,Anus and Anal Canal,124
2022,Australia,Liver and Intrahepatic Bile Ducts,2197
2022,Australia,Gallbladder,168
2022,Australia,Other and Unspecified Parts of Biliary Tract,128
2022,Australia,Pancreas,3484
2022,Australia,Other Digestive Organs,1101
2012,New South Wales,Oesophagus,428
2012,New South Wales,Stomach,382
2012,New South Wales,Small Intestine,34
2012,New South Wales,Colon,615
2012,New South Wales,Rectosigmoid Junction,470
2012,New South Wales,Rectum,231
2012,New South Wales,Anus and Anal Canal,19
2012,New South Wales,Liver and Intrahepatic Bile Ducts,538
2012,New South Wales,Gallbladder,54
2012,New South Wales,Other and Unspecified Parts of Biliary Tract,22
2012,New South Wales,Pancreas,882
2012,New South Wales,Other Digestive Organs,472
2013,New South Wales,Oesophagus,427
2013,New South Wales,Stomach,401
2013,New South Wales,Small Intestine,35
2013,New South Wales,Colon,577
2013,New South Wales,Rectosigmoid Junction,462
2013,New South Wales,Rectum,243
2013,New South Wales,Anus and Anal Canal,24
2013,New South Wales,Liver and Intrahepatic Bile Ducts,569
2013,New South Wales,Gallbladder,63
2013,New South Wales,Other and Unspecified Parts of Biliary Tract,25
2013,New South Wales,Pancreas,905
2013,New South Wales,Other Digestive Organs,452
2014,New South Wales,Oesophagus,416
2014,New South Wales,Stomach,348
2014,New South Wales,Small Intestine,27
2014,New South Wales,Colon,607
2014,New South Wales,Rectosigmoid Junction,470
2014,New South Wales,Rectum,232
2014,New South Wales,Anus and Anal Canal,30
2014,New South Wales,Liver and Intrahepatic Bile Ducts,642
2014,New South Wales,Gallbladder,45
2014,New South Wales,Other and Unspecified Parts of Biliary Tract,30
2014,New South Wales,Pancreas,893
2014,New South Wales,Other Digestive Organs,471
2015,New South Wales,Oesophagus,470
2015,New South Wales,Stomach,361
2015,New South Wales,Small Intestine,32
2015,New South Wales,Colon,570
2015,New South Wales,Rectosigmoid Junction,560
2015,New South Wales,Rectum,226
2015,New South Wales,Anus and Anal Canal,24
2015,New South Wales,Liver and Intrahepatic Bile Ducts,637
2015,New South Wales,Gallbladder,66
2015,New South Wales,Other and Unspecified Parts of Biliary Tract,33
2015,New South Wales,Pancreas,927
2015,New South Wales,Other Digestive Organs,436
2016,New South Wales,Oesophagus,430
2016,New South Wales,Stomach,350
2016,New South Wales,Small Intestine,40
2016,New South Wales,Colon,582
2016,New South Wales,Rectosigmoid Junction,564
2016,New South Wales,Rectum,208
2016,New South Wales,Anus and Anal Canal,25
2016,New South Wales,Liver and Intrahepatic Bile Ducts,639
2016,New South Wales,Gallbladder,60
2016,New South Wales,Other and Unspecified Parts of Biliary Tract,31
2016,New South Wales,Pancreas,964
2016,New South Wales,Other Digestive Organs,452
2017,New South Wales,Oesophagus,409
2017,New South Wales,Stomach,379
2017,New South Wales,Small Intestine,40
2017,New South Wales,Colon,537
2017,New South Wales,Rectosigmoid Junction,614
2017,New South Wales,Rectum,219
2017,New South Wales,Anus and Anal Canal,26
2017,New South Wales,Liver and Intrahepatic Bile Ducts,673
2017,New South Wales,Gallbladder,44
2017,New South Wales,Other and Unspecified Parts of Biliary Tract,28
2017,New South Wales,Pancreas,1010
2017,New South Wales,Other Digestive Organs,447
2018,New South Wales,Oesophagus,438
2018,New South Wales,Stomach,387
2018,New South Wales,Small Intestine,43
2018,New South Wales,Colon,465
2018,New South Wales,Rectosigmoid Junction,679
2018,New South Wales,Rectum,218
2018,New South Wales,Anus and Anal Canal,30
2018,New South Wales,Liver and Intrahepatic Bile Ducts,698
2018,New South Wales,Gallbladder,63
2018,New South Wales,Other and Unspecified Parts of Biliary Tract,35
2018,New South Wales,Pancreas,992
2018,New South Wales,Other Digestive Organs,422
2019,New South Wales,Oesophagus,461
2019,New South Wales,Stomach,377
2019,New South Wales,Small Intestine,40
2019,New South Wales,Colon,477
2019,New South Wales,Rectosigmoid Junction,682
2019,New South Wales,Rectum,187
2019,New South Wales,Anus and Anal Canal,30
2019,New South Wales,Liver and Intrahepatic Bile Ducts,813
2019,New South Wales,Gallbladder,33
2019,New South Wales,Other and Unspecified Parts of Biliary Tract,61
2019,New South Wales,Pancreas,1066
2019,New South Wales,Other Digestive Organs,427
2020,New South Wales,Oesophagus,432
2020,New South Wales,Stomach,360
2020,New South Wales,Small Intestine,38
2020,New South Wales,Colon,491
2020,New South Wales,Rectosigmoid Junction,742
2020,New South Wales,Rectum,222
2020,New South Wales,Anus and Anal Canal,40
2020,New South Wales,Liver and Intrahepatic Bile Ducts,772
2020,New South Wales,Gallbladder,56
2020,New South Wales,Other and Unspecified Parts of Biliary Tract,38
2020,New South Wales,Pancreas,1038
2020,New South Wales,Other Digestive Organs,419
2021,New South Wales,Oesophagus,437
2021,New South Wales,Stomach,383
2021,New South Wales,Small Intestine,44
2021,New South Wales,Colon,522
2021,New South Wales,Rectosigmoid Junction,652
2021,New South Wales,Rectum,224
2021,New South Wales,Anus and Anal Canal,40
2021,New South Wales,Liver and Intrahepatic Bile Ducts,783
2021,New South Wales,Gallbladder,53
2021,New South Wales,Other and Unspecified Parts of Biliary Tract,38
2021,New South Wales,Pancreas,1117
2021,New South Wales,Other Digestive Organs,417
2022,New South Wales,Oesophagus,402
2022,New South Wales,Stomach,325
2022,New South Wales,Small Intestine,45
2022,New South Wales,Colon,451
2022,New South Wales,Rectosigmoid Junction,652
2022,New South Wales,Rectum,212
2022,New South Wales,Anus and Anal Canal,39
2022,New South Wales,Liver and Intrahepatic Bile Ducts,752
2022,New South Wales,Gallbladder,40
2022,New South Wales,Other and Unspecified Parts of Biliary Tract,44
2022,New South Wales,Pancreas,1160
2022,New South Wales,Other Digestive Organs,386
2012,Victoria,Oesophagus,271
2012,Victoria,Stomach,319
2012,Victoria,Small Intestine,34
2012,Victoria,Colon,501
2012,Victoria,Rectosigmoid Junction,383
2012,Victoria,Rectum,202
2012,Victoria,Anus and Anal Canal,22
2012,Victoria,Liver and Intrahepatic Bile Ducts,396
2012,Victoria,Gallbladder,61
2012,Victoria,Other and Unspecified Parts of Biliary Tract,20
2012,Victoria,Pancreas,647
2012,Victoria,Other Digestive Organs,315
2013,Victoria,Oesophagus,323
2013,Victoria,Stomach,352
2013,Victoria,Small Intestine,29
2013,Victoria,Colon,506
2013,Victoria,Rectosigmoid Junction,434
2013,Victoria,Rectum,201
2013,Victoria,Anus and Anal Canal,17
2013,Victoria,Liver and Intrahepatic Bile Ducts,370
2013,Victoria,Gallbladder,45
2013,Victoria,Other and Unspecified Parts of Biliary Tract,38
2013,Victoria,Pancreas,658
2013,Victoria,Other Digestive Organs,284
2014,Victoria,Oesophagus,282
2014,Victoria,Stomach,347
2014,Victoria,Small Intestine,28
2014,Victoria,Colon,418
2014,Victoria,Rectosigmoid Junction,476
2014,Victoria,Rectum,189
2014,Victoria,Anus and Anal Canal,24
2014,Victoria,Liver and Intrahepatic Bile Ducts,412
2014,Victoria,Gallbladder,42
2014,Victoria,Other and Unspecified Parts of Biliary Tract,20
2014,Victoria,Pancreas,668
2014,Victoria,Other Digestive Organs,295
2015,Victoria,Oesophagus,291
2015,Victoria,Stomach,319
2015,Victoria,Small Intestine,27
2015,Victoria,Colon,437
2015,Victoria,Rectosigmoid Junction,503
2015,Victoria,Rectum,173
