State,Age Group,Total
NSW,Under 1 year,256
NSW,1-14 years,134
NSW,15-24 years,327
NSW,25-34 years,570
NSW,35-44 years,1047
NSW,45-54 years,2202
NSW,55-64 years,4934
NSW,65-74 years,9606
NSW,75-84 years,16943
NSW,85-94 years,21089
NSW,95 years and over,5872
VIC,Under 1 year,206
VIC,1-14 years,109
VIC,15-24 years,270
VIC,25-34 years,526
VIC,35-44 years,878
VIC,45-54 years,1897
VIC,55-64 years,3577
VIC,65-74 years,7128
VIC,75-84 years,12631
VIC,85-94 years,16246
VIC,95 years and over,4510
SA,Under 1 year,56
SA,1-14 years,31
SA,15-24 years,78
SA,25-34 years,139
SA,35-44 years,243
SA,45-54 years,514
SA,55-64 years,1245
SA,65-74 years,2320
SA,75-84 years,4094
SA,85-94 years,5156
SA,95 years and over,1578
WA,Under 1 year,84
WA,1-14 years,54
WA,15-24 years,123
WA,25-34 years,263
WA,35-44 years,424
WA,45-54 years,806
WA,55-64 years,1505
WA,65-74 years,2710
WA,75-84 years,4548
WA,85-94 years,5357
WA,95 years and over,1422
QLD,Under 1 year,283
QLD,1-14 years,116
QLD,15-24 years,256
QLD,25-34 years,412
QLD,35-44 years,777
QLD,45-54 years,1598
QLD,55-64 years,3282
QLD,65-74 years,6130
QLD,75-84 years,10741
QLD,85-94 years,11614
QLD,95 years and over,2951
TAS,Under 1 year,17
TAS,1-14 years,7
TAS,15-24 years,24
TAS,25-34 years,47
TAS,35-44 years,71
TAS,45-54 years,207
TAS,55-64 years,456
TAS,65-74 years,942
TAS,75-84 years,1439
TAS,85-94 years,1585
TAS,95 years and over,347
ACT,Under 1 year,19
ACT,1-14 years,9
ACT,15-24 years,26
ACT,25-34 years,29
ACT,35-44 years,67
ACT,45-54 years,97
ACT,55-64 years,199
ACT,65-74 years,408
ACT,75-84 years,679
ACT,85-94 years,788
ACT,95 years and over,242
NT,Under 1 year,35
NT,1-14 years,12
NT,15-24 years,40
NT,25-34 years,53
NT,35-44 years,86
NT,45-54 years,148
NT,55-64 years,228
NT,65-74 years,281
NT,75-84 years,276
NT,85-94 years,156
NT,95 years and over,22
